SECCIO_CENSAL;HOMES;DONES;EDAT_0_A_14;EDAT_15_A_24;EDAT_25_A_64;EDAT_65_A_MES;NACIONALS;COMUNITARIS;ESTRANGERS
08027;638;652;174;78;670;368;1189;20;81
08028;499;598;109;78;565;345;994;14;89
08029;716;820;229;138;842;327;1387;13;136
08030;699;794;246;143;802;302;1262;23;208
08031;626;699;180;91;677;377;1195;17;113
08032;604;708;172;110;709;321;1141;25;146
08033;693;749;182;98;830;332;1185;32;225
08034;519;680;153;109;535;402;974;14;211
08035;1029;979;210;163;1172;463;1500;81;427
08036;684;800;168;118;827;371;1216;21;247
08037;675;828;174;113;790;426;1275;20;208
08038;664;820;195;142;814;333;1223;18;243
08039;707;822;196;127;809;397;1229;35;265
08040;759;878;225;163;916;333;1363;12;262
08041;1113;1205;378;262;1317;361;1594;43;681
08042;580;693;138;91;583;461;1116;14;143
08043;508;655;119;141;575;328;1078;16;69
08044;629;716;165;132;736;312;1058;17;270
08045;834;917;241;170;1012;328;1320;38;393
08046;613;753;159;118;717;372;1125;18;223
08047;725;855;226;134;853;367;1147;28;405
08048;484;530;118;124;535;237;929;10;75
08049;602;668;183;107;695;285;1177;17;76
08050;662;761;156;125;715;427;1333;14;76
08051;643;712;264;85;735;271;1275;16;64
08052;394;500;115;59;450;270;816;15;63
08053;550;614;127;91;548;398;1076;27;61
08054;749;943;179;130;796;587;1573;27;92
08055;899;970;208;158;897;606;1767;39;63
08056;693;790;160;145;734;444;1334;29;120
08057;624;717;140;120;670;411;1202;19;120
08058;733;875;215;142;819;432;1485;23;100
08059;457;513;119;78;521;252;917;6;47
08060;557;630;130;88;627;342;1123;6;58
08061;833;857;224;146;892;428;1607;21;62
08062;565;604;99;112;668;290;1140;5;24
08063;528;569;89;80;582;346;1055;5;37
08064;821;919;238;151;938;413;1655;15;70
08065;862;832;297;194;971;232;1374;48;272
08066;750;779;268;151;886;224;1249;49;231
08067;837;867;246;158;981;319;1436;34;234
08068;856;964;269;224;982;345;1447;22;351
08069;711;765;194;151;845;286;1177;28;271
08070;661;752;211;107;826;269;1069;32;312
08071;793;851;220;182;908;334;1326;23;295
08072;571;639;175;126;607;302;998;41;171
08073;813;936;250;165;1023;311;1341;55;353
08074;682;741;212;146;793;272;1039;64;320
08075;875;978;234;172;1032;415;1503;43;307
08076;716;835;159;127;787;478;1307;33;211
08077;648;747;199;149;783;264;1259;15;121
08078;704;824;185;118;866;359;1256;37;235
08079;673;743;193;137;787;299;1074;40;302
08080;681;793;194;116;803;361;1234;26;214
08081;769;834;275;141;893;294;1183;26;394
08082;704;867;176;163;828;404;1296;18;257
08083;589;704;173;106;698;316;1002;39;252
08084;550;626;141;104;602;329;992;11;173
08085;688;739;180;158;820;269;1172;27;228
08086;792;905;235;130;909;423;1390;33;274
08087;565;669;170;95;640;329;1054;11;169
08088;593;680;166;113;695;299;1070;19;184
08089;584;664;162;104;680;302;1037;30;181
08090;577;650;153;103;635;336;1061;11;155
08091;584;602;111;119;590;366;1035;12;139
08092;491;512;114;77;525;287;895;10;98
08093;607;641;171;117;666;294;1090;9;149
08094;717;780;149;112;746;490;1360;17;120
08095;521;581;135;91;504;372;1027;12;63
08096;705;740;177;153;802;313;1238;23;184
08097;632;704;187;154;710;285;1158;8;170
08098;570;641;173;112;626;300;1032;32;147
08099;643;702;179;123;778;265;1123;34;188
08100;549;690;157;101;680;301;1078;12;149
08101;792;928;217;158;902;443;1526;11;183
08102;677;813;174;109;717;490;1234;16;240
08103;766;768;232;139;929;234;1134;31;369
08104;558;696;169;132;687;266;1035;30;189
08105;730;796;231;164;810;321;1252;20;254
08106;562;639;185;121;657;238;885;9;307
08107;851;924;240;185;1011;339;1620;9;146
08108;901;950;369;225;1052;205;1468;55;328
08109;505;476;158;118;540;165;886;5;90
08110;943;930;360;185;1053;275;1328;51;494
08111;738;864;263;189;845;305;1192;16;394
08112;821;854;275;202;910;288;1125;45;505
08113;862;858;289;208;887;336;1274;7;439
08114;908;911;252;202;992;373;1363;27;429
08115;790;835;249;195;867;314;1125;31;469
08116;678;704;260;140;750;232;1211;23;148
08215;654;803;233;123;797;304;1300;26;131
09001;1389;1194;488;312;1438;345;1627;65;891
09002;1081;1002;318;220;1218;327;1435;72;576
09003;1086;1001;343;218;1166;360;1540;41;506
09004;810;839;255;182;912;300;1256;20;373
09005;796;799;265;144;947;239;1335;61;199
09006;608;640;205;154;675;214;1108;23;117
09007;630;667;226;134;741;196;1148;14;135
09008;970;962;599;115;1129;89;1833;26;73
09009;690;736;284;106;692;344;1349;10;67
09010;879;926;217;175;953;460;1728;18;59
